符合條件商品
資料日期：2025年 11月 25日
策略,	005_CB+投信買超大於5千萬
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)",10日融券增減(張)
1	,"2368.TW","金像電","594","10","21699","22811.2","128.89","149.62","18.76","13.44","12.95","7.28","10","17.16","19.16","40.59","24.79","50.63","-141","-0.02","178.63","-0.11","1297","0.15","6004","0.7","6004","0.7","1384","0.16","2436","0.29","4068","0.48","6739","0.79","6739","0.79","2419","0.28","-2395","-0.28","-1306","-0.15","822","0.1","822","0.1","-9","-0","119","0.01","79","0.01","164","0.02","164","0.02","556","-36","-0","-142","-0.02","9","0","-801","-0.09","-801","-0.09","1441","0.17","2235","0.26","3435","0.4","1408","0.17","3013","1571","9007","311","1514","39624","43997","-4373","594","555","556","7.03","4.97","4.41","4.64","49.2","45.46","7.33","16.81","178.63","5.32","5.68","-20.73","0.95","4086",295
2	,"6223.TW","旺矽","2060","6.46","2693","1889","55.48","33.18","12.28","4.75","8.96","2.01","6.46","12.88","14.76","2.49","56.65","9.59","401","0.86","181.87","1.46","948","2.04","1150","2.47","1150","2.47","419","0.9","666","1.43","463","0.99","185","0.4","185","0.4","477","1.02","607","1.3","665","1.43","1003","2.15","1003","2.15","-36","-0.08","-41","-0.09","-32","-0.07","13","0.03","13","0.03","2000","1","0","20","0.04","30","0.06","49","0.11","49","0.11","25","0.05","-180","-0.39","-4","-0.01","-10","-0.02","200","174","1436","24","270","2779","2711","68","2090","2000","2000","4.5","5.33","2.84","1.99","43.33","49.69","5.99","18.8","181.87","7.53","6.94","22.3","1.43","255",-248
3	,"6274.TW","台燿","419","5.67","27602","18104.6","115.65","60.76","11.92","8.78","6.67","2.79","5.67","8.27","10.99","21.98","26.2","28.87","1604","0.23","175.52","-0.44","-3407","-0.49","-6594","-0.96","-6594","-0.96","772","0.11","2312","0.34","3456","0.5","8377","1.22","8377","1.22","3961","0.57","701","0.1","2413","0.35","3841","0.56","3841","0.56","-121","-0.02","1746","0.25","1783","0.26","4119","0.6","4119","0.6","412","179","0.03","136","0.02","-90","-0.01","-92","-0.01","-92","-0.01","943","0.14","1063","0.15","307","0.04","-2105","-0.31","3025","2077","12855","194","2261","13562","14503","-941","424.5","405","412","4.81","4.2","9.56","6.27","59.8","57.19","17.81","17.59","175.52","3.13","3.88","54.89","1.52","1813",89
4	,"3653.TW","健策","2595","-0.38","1394","1911.4","36.17","51.48","9.06","9.84","3.76","5.02","-0.38","4.22","17.42","19.86","34.11","14.55","-53","-0.09","178.16","-0.19","-416","-0.74","230","0.41","230","0.41","69","0.12","181","0.32","502","0.9","2197","3.92","2197","3.92","-66","-0.12","-138","-0.25","134","0.24","978","1.74","978","1.74","6","0.01","29","0.05","22","0.04","-37","-0.07","-37","-0.07","2675","2","0","15","0.03","61","0.11","-10","-0.02","-10","-0.02","27","0.05","-244","-0.44","29","0.05","-403","-0.72","165","138","2571","8","229","3769","3562","207","2690","2585","2675","4.06","4.17","0.98","1.34","46.63","43.78","7.2","8.91","178.16","-0.77","-1.26","-15.3","0.73","1403",154
5	,"6290.TW","良維","182.5","0","6763","6428.8","12.34","13.36","9.81","8.24","1.91","-0.1","0","6.1","0.27","1.96","63.68","16.52","-1587","-0.18","173.35","-0.26","-2213","-0.24","392","0.04","392","0.04","580","0.06","999","0.11","941","0.1","706","0.08","706","0.08","-968","-0.11","-993","-0.11","-1230","-0.14","-2654","-0.29","-2654","-0.29","780","0.09","875","0.1","1252","0.14","4201","0.46","4201","0.46","184","-76","-0.01","26","0","16","0","-2632","-0.29","-2632","-0.29","190","0.02","141","0.02","447","0.05","-377","-0.04","538","345","12828","25","654","10293","11451","-1158","186","180","184","3.33","3.47","4.18","3.98","54.67","46.23","31.05","5.1","173.35","1.57","2.01","-1.02","1.05","853",-29
6	,"3023.TW","信邦","213.5","1.91","1183","2000.4","2.53","4.55","-1.49","-3.82","1.26","-1.46","1.91","3.14","-1.84","-0.23","-7.58","24.01","-480","-0.04","158.27","-0.2","-3854","-0.34","-5621","-0.5","-5621","-0.5","634","0.06","2503","0.22","4426","0.39","5312","0.47","5312","0.47","41","0","67","0.01","103","0.01","-351","-0.03","-351","-0.03","-14","-0","-13","-0","73","0.01","524","0.05","524","0.05","210","6","0","52","0","95","0.01","259","0.02","259","0.02","6","0","1","0","-273","-0.02","-229","-0.02","12","6","2675","0","57","7989","7992","-3","213.5","209","210","2.15","3.3","0.49","0.83","14.71","23.6","4.46","2.13","158.27","2.33","2.72","-2.03","0.59","1639",17
7	,"2610.TW","華航","19.2","1.05","15065","26204.8","2.89","5.68","-3.12","-4.04","-0.07","-1.27","1.05","1.32","-2.29","-4.71","-9.43","608.39","-7418","-0","152.1","-0.01","-53078","-0.02","-97638","-0.03","-97638","-0.03","6841","0","20094","0.01","32810","0.01","40994","0.01","40994","0.01","-523","-0","-8721","-0","-14064","-0","-49220","-0.02","-49220","-0.02","926","0","7244","0","11600","0","39576","0.01","39576","0.01","19.1","76","0","210","0","237","0","143","0","143","0","-33","-0","441","0","564","0","-706","-0","315","348","52956","2","500","207779","212405","-4626","19.2","19.05","19.1","0.79","1.37","0.25","0.43","18.66","21.48","3.48","0.94","152.1","0.92","1.2","-2.79","0.57","21521",95
8	,"3045.TW","台灣大","107.5","-0.46","8516","6801.6","9.15","7.57","-0.92","-1.21","-0.73","-0.82","-0.46","0.47","-2.27","-3.59","1.42","372.33","-1383","-0","163.15","-0","-2106","-0.01","-9959","-0.03","-9959","-0.03","1834","0.01","2241","0.01","2346","0.01","976","0","976","0","-62","-0","177","0","-264","-0","-6423","-0.02","-6423","-0.02","54","0","24","0","159","0","1901","0.01","1901","0.01","108","20","0","238","0","280","0","652","0","652","0","-279","-0","-242","-0","-319","-0","169","0","144","373","2306","-2","40","61150","61058","92","109","107.5","108","1.4","1.4","0.23","0.18","42.31","33.89","0.25","1.73","163.15","0.29","0.1","1.58","1.25","9985",14
