符合條件商品
資料日期：2025年 11月 25日
策略,	0010_CB+創200日新低
"序號","代碼","商品","成交","漲幅%","總量","最低價","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價(1)","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)",10日融券增減(張)
1	,"4416.TW","三圓","32.65","-8.16","97","32.65","53.6","0.03","0.01","-30.76","-25.78","-19.09","-15.25","-8.16","-23.18","-34.17","-42.62","-45.58","7.36","4","0","108.62","0","3","0","-1","-0","-1","-0","0","0","0","0","0","0","0","0","0","0","-16","-0","-16","-0","-18","-0","-18","-0","-18","-0","0","0","0","0","0","0","0","0","0","0","35.35","0","0","0","0","0","0","-4","-0","-4","-0","16","0","36","0","58","0","112","0","16","0","185","20","20","19","19","0","35.35","32.65","35.35","8.27","6.69","0.13","0.07","24.74","25.05","1.01","10.81","108.62","-4.98","-3.84","0.02","1.81","4",20
2	,"6806.TW","森崴能源","38.45","1.05","1860","37.15","2976.8","0.72","1.18","-20.34","-22.42","-6.55","-10.39","1.05","-7.13","-24.16","-34.39","-32.9","27.46","146","0","101.43","-0.01","-319","-0","525","0.01","525","0.01","0","0","-3","-0","-3","-0","-3","-0","-3","-0","12","0","-355","-0","-571","-0.01","-803","-0.01","-803","-0.01","110","0","357","0","676","0.01","2151","0.03","2151","0.03","38","0","0","0","0","50","0","109","0","109","0","-92","-0","-125","-0","-448","-0.01","-873","-0.01","37","61","5486","10","918","13807","13869","-62","38.5","37.15","38","3.63","6.28","0.68","1.08","45.7","43.29","7.99","16.73","101.43","2.08","3.84","-0.46","0.62","-1327",-78
