符合條件商品
資料日期：2025年 11月 25日
策略,	0100_NVIDIA概念股
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)",10日融券增減(張)
10	,"2449.TW","京元電子","205","0.74","29202","53984.4","59.86","147.44","4.12","4.35","0.22","-0.3","0.74","3.54","-3.76","8.75","47.48","122.27","-7988","-0.13","165.14","-0.48","-44945","-0.75","-55675","-0.93","-55675","-0.93","4746","0.08","22858","0.38","45078","0.76","58533","0.98","58533","0.98","-1781","-0.03","-5841","-0.1","-3564","-0.06","-4785","-0.08","-4785","-0.08","350","0.01","2035","0.03","1809","0.03","6231","0.1","6231","0.1","210","75","0","370","0.01","-1772","-0.03","-2024","-0.03","-2024","-0.03","755","0.01","617","0.01","656","0.01","-1057","-0.02","1423","666","16496","144","1825","100800","115748","-14948","212","205","210","3.41","3.93","2.39","4.42","39.78","35.83","5.4","11.06","165.14","-0.23","0.52","-87.58","0.54","27451",318
11	,"2454.TW","聯發科","1185","3.04","7622","8070.4","90.32","99.14","-5.8","-8.33","0.02","-3.44","3.04","1.28","-4.44","-9.89","-15.36","160.39","-702","-0.05","150.12","-0.28","-4645","-0.34","-9816","-0.73","-9816","-0.73","480","0.04","1198","0.09","1464","0.11","1608","0.12","1608","0.12","-194","-0.01","-1884","-0.14","-2973","-0.22","-6565","-0.49","-6565","-0.49","39","0","215","0.02","481","0.04","992","0.07","992","0.07","1175","15","0","292","0.02","261","0.02","435","0.03","435","0.03","29","0","33","0","81","0.01","28","0","151","122","6578","4","168","36399","34988","1411","1205","1175","1175","2.55","2.77","0.48","0.5","27.84","26.62","1.64","2.55","150.12","2.54","3.46","-8.82","0.94","9802",10
12	,"2330.TW","台積電","1415","2.91","31007","51099.6","438.75","869.25","0.53","-0.35","-0.35","-1.69","2.91","0.71","-3.41","-4.07","18.91","2593.25","6458","0.04","166.33","-0.26","-45822","-0.25","-81821","-0.45","-81821","-0.45","-52","-0","477","0","919","0.01","-459","-0","-459","-0","2924","0.02","-37316","-0.2","-38474","-0.21","-68266","-0.37","-68266","-0.37","24","0","73","0","131","0","200","0","200","0","1425","-28","-0","4847","0.03","6232","0.03","7824","0.04","7824","0.04","-441","-0","1296","0.01","1558","0.01","1296","0.01","373","800","19334","15","225","420366","413832","6534","1425","1405","1425","1.42","1.57","0.12","0.2","18.63","17.5","0.3","1.16","166.33","0.88","1.34","-430.5","0.61","2002",-88
13	,"6569.TW","醫揚","109.5","0","3","22.8","0","0.03","-6.05","-7.53","-0.47","-2.06","0","0.92","-3.52","-8.37","-8.37","3.91","0","0","133.93","0","16","0","-14","-0","-14","-0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","-16","-0","-16","-0","0","0","-10","-0","-20","-0.01","-8","-0","-8","-0","109.5","0","0","0","0","0","0","0","0","0","0","-2","-0","-20","-0.01","-28","-0.01","-23","-0.01","0","2","328","0","0","165","165","0","109.5","109.5","109.5","0","1.49","0.01","0.06","0","4.23","3.36","0","133.93","1.48","1.59","-0.03","0.13","2",0
14	,"2357.TW","華碩","590","0.85","3906","4999.2","23.05","32.83","-6.85","-10.02","-0.52","-4.4","0.85","4.8","-10.74","-16.78","-7.09","74.28","-1541","-0.12","154.95","-0.17","-3467","-0.28","-14151","-1.12","-14151","-1.12","1236","0.1","1627","0.13","1390","0.11","297","0.02","297","0.02","-54","-0","-49","-0","-1328","-0.11","-10496","-0.83","-10496","-0.83","21","0","70","0.01","199","0.02","1103","0.09","1103","0.09","589","0","0","267","0.02","402","0.03","989","0.08","989","0.08","-29","-0","-54","-0","-19","-0","292","0.02","52","77","1567","12","47","30463","29336","1127","594","584","589","1.71","2.75","0.53","0.67","22.86","25.07","0.84","3","154.95","3.17","3.88","-9.79","0.78","7179",7
15	,"2303.TW","聯電","45.1","-3.11","48758","51430.4","21.99","28.5","0.9","1.22","-0.54","0.82","-3.11","2.04","-0.33","-1.96","10.13","1255.53","-7433","-0","166.31","0.01","25535","0.01","28114","0.01","28114","0.01","-6910","-0","-15223","-0.01","-21595","-0.01","-37678","-0.01","-37678","-0.01","-11173","-0","6770","0","10927","0","4787","0","4787","0","6572","0","-1463","-0","-3941","-0","3496","0","3496","0","46.05","-486","-0","4319","0","5898","0","13934","0.01","13934","0.01","1771","0","948","0","690","0","654","0","2018","232","31712","-2344","765","1001131","1017081","-15950","46.1","45.05","46.05","2.33","2.4","0.39","0.41","30.07","31.67","1.01","2.41","166.31","-0.33","-1.36","-6.51","0.95","22402",-170
16	,"2382.TW","廣達","275","1.1","9488","12955.6","26.09","38.44","-2.13","-3.87","-0.56","-2.04","1.1","1.85","-5.66","-9.54","2.23","386.26","1187","0.01","157.12","0.01","453","0","-7141","-0.05","-7141","-0.05","-734","-0.01","-2285","-0.02","-4720","-0.03","-15726","-0.11","-15726","-0.11","785","0.01","500","0","-3471","-0.02","-20146","-0.14","-20146","-0.14","-80","-0","356","0","1536","0.01","5423","0.04","5423","0.04","278","45","0","798","0.01","1281","0.01","2735","0.02","2735","0.02","-99","-0","-466","-0","-322","-0","-1034","-0.01","231","324","16056","66","647","116062","114878","1184","279.5","274","278","2.01","1.89","0.25","0.34","27.77","23.77","1.66","4.03","157.12","1.75","1.49","-12.35","0.73","-8276",-213
17	,"2359.TW","所羅門","123","1.23","760","1060.6","0.93","1.38","-4.69","-6.51","-0.59","-1.56","1.23","2.5","-5.38","-8.55","-26.13","17.15","255","0.02","138.63","0.03","1073","0.08","1247","0.09","1247","0.09","0","0","0","0","0","0","0","0","0","0","147","0.01","179","0.01","549","0.04","524","0.04","524","0.04","-107","-0.01","-57","-0","-329","-0.02","74","0.01","74","0.01","122.5","0","0","-9","-0","-9","-0","-57","-0","-57","-0","-15","-0","-213","-0.02","-404","-0.03","-611","-0.04","47","55","6852","9","866","11719","11757","-38","124","122.5","122.5","1.22","2.51","0.44","0.62","33.95","40.29","15.98","12.64","138.63","1.82","0.97","-0.44","0.72","-748",38
18	,"3540.TW","曜越","29.65","1.19","69","144","0.02","0.04","-5.52","-7.69","-0.66","-2.91","1.19","0.51","-6.47","-8.49","-11.09","7.25","7","0","140.91","0","-2","-0","-261","-0.01","-261","-0.01","0","0","0","0","0","0","0","0","0","0","3","0","-19","-0","-26","-0","-209","-0.01","-209","-0.01","0","0","2","0","2","0","14","0","14","0","29.4","0","0","0","0","1","0","1","0","1","0","-1","-0","-13","-0","-27","-0","-75","-0","1","2","1104","0","1","571","575","-4","29.7","29.35","29.4","1.19","2.26","0.1","0.2","11.59","14.22","6.09","0.09","140.91","2.16","2.25","-0.02","0.48","-15",1
19	,"6669.TW","緯穎","4170","3.47","1433","1869","59.76","86.15","4.48","3.95","-0.75","-1.84","3.47","0.97","-11.65","2.08","39.7","18.58","135","0.3","163.65","-0.54","-756","-1.7","-1780","-3.99","-1780","-3.99","45","0.1","52","0.12","247","0.55","364","0.82","364","0.82","158","0.35","-305","-0.68","-590","-1.32","-1963","-4.4","-1963","-4.4","-5","-0.01","120","0.27","148","0.33","464","1.04","464","1.04","4150","7","0.02","5","0.01","-3","-0.01","-36","-0.08","-36","-0.08","-48","-0.11","-76","-0.17","32","0.07","140","0.31","73","119","1829","-15","121","9793","9870","-77","4200","4060","4150","3.45","3.41","0.77","1.01","43.48","44.52","3.94","6.62","163.65","0.53","1.09","-26.39","0.77","920",-5
