"債券代碼
Bond Code","債券簡稱
Short Name","停止轉(交)換起日
Start Date","停止轉(交)換迄日
Due Date","停止轉(交)換事由 
Reason of Close Conversion"
18156,富喬六,2025/11/10,2025/12/03,現金增資
22362,百達二KY,2025/11/21,2025/12/16,配股配息
25303,華建三,2025/11/20,2025/12/15,配股配息
25304,華建四,2025/11/20,2025/12/15,配股配息
33121,弘憶股一,2025/11/27,2025/12/26,股東臨時會
36804,家登四,2025/11/24,2025/12/17,配股配息
47471,強生一,2025/11/25,2025/12/24,股東臨時會
52635,智崴五,2025/11/06,2025/12/01,現金增資
61112,大宇資二,2025/11/24,2025/12/23,股東臨時會
61793,亞通三,2025/10/26,2025/11/24,股東臨時會
61794,亞通四,2025/10/26,2025/11/24,股東臨時會
68041,明係一,2025/12/01,2025/12/24,現金增資
68231,濾能一,2025/11/25,2025/12/24,股東臨時會
82992,群聯二,2025/11/27,2025/12/22,配股配息
