符合條件商品
資料日期：2025年 11月 25日
策略,	003_CB+計量統計表
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)",10日融券增減(張)
10	,"1815.TW","富喬","78.5","-2.73","53592","82419.2","42.07","72.71","1.92","6.11","-4.73","-1.02","-2.73","-6.1","-5.42","9.18","11.19","52.49","-7374","-0.11","156.12","-0.34","-18632","-0.28","8238","0.12","8238","0.12","0","0","-628","-0.01","-672","-0.01","-623","-0.01","-623","-0.01","-8815","-0.13","-32315","-0.48","-21072","-0.32","-38839","-0.58","-38839","-0.58","9128","0.14","26682","0.4","33683","0.5","61274","0.92","61274","0.92","82.9","-536","-0.01","-1216","-0.02","-1148","-0.02","-3277","-0.05","-3277","-0.05","-625","-0.01","3562","0.05","395","0.01","-20051","-0.3","6747","7369","69145","0","0","26227","24805","1422","83.9","78.5","82.9","6.88","6.5","10.29","15.82","39.73","55.29","53.1","0","156.12","-4.2","-3.72","-30.64","0.65","-19538",-13187
11	,"3313.TW","斐成","13.4","0.75","282","764.8","0.04","0.11","-12.42","-13.57","-4.59","-8.53","0.75","-8.22","-12.13","-20.71","3.88","22.11","105","0","124.38","0","417","0","584","0","584","0","0","0","0","0","0","0","0","0","0","0","-30","-0","-68","-0","-372","-0","-371","-0","-371","-0","60","0","41","0","216","0","261","0","261","0","13.35","0","0","0","0","0","0","0","0","0","0","-230","-0","-716","-0","-1162","-0.01","-1463","-0.01","0","155","3553","-1","209","917","1165","-248","13.6","13.3","13.35","2.26","4.73","0.13","0.35","0","17.43","0","5.88","124.38","1.15","3.94","-0.07","0.37","-1240",-148
12	,"6641.TW","基士德-KY","19.45","-0.77","32","30.2","0.01","0.01","-5.76","-4.66","-4.37","-4.06","-0.77","-5.35","-10.37","-9.11","-9.53","3.65","2","0","150.63","-0","1","0","-5","-0","-5","-0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.5","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","-1","-0","1","0","141","0","0","47","47","0","19.5","19.1","19.5","2.09","2.14","0.09","0.08","3.13","9.41","1.55","0","150.63","-1.1","-0.31","0","1.06","8",0
13	,"3708.TW","上緯投控","106","1.44","823","1275.2","0.87","1.48","-9.03","-8.4","-3.91","-5.17","1.44","-3.2","-8.62","-10.92","-18.77","10.78","92","0.01","144.92","-0.01","-307","-0.03","1588","0.16","1588","0.16","0","0","0","0","151","0.01","169","0.02","169","0.02","-109","-0.01","-463","-0.05","-410","-0.04","2077","0.2","2077","0.2","84","0.01","595","0.06","604","0.06","614","0.06","614","0.06","106","-7","-0","-145","-0.01","-137","-0.01","-311","-0.03","-311","-0.03","-107","-0.01","-239","-0.02","-514","-0.05","-1892","-0.19","102","185","8152","-6","169","8767","8178","589","107.5","103.5","106","3.86","3.78","0.77","1.19","35.84","38.66","30.26","2.07","144.92","-0.64","1.26","-0.61","0.65","855",-18
14	,"2439.TW","美律","102.5","0.99","912","1776.2","0.93","2.26","-3.19","-1.39","-3.77","-3.19","0.99","-6.82","-9.29","1.49","-12.39","25.38","-15","-0","159.06","-0.05","-1469","-0.06","2935","0.12","2935","0.12","-1","-0","108","0","828","0.03","1173","0.05","1173","0.05","-96","-0","-1034","-0.04","-1019","-0.04","970","0.04","970","0.04","145","0.01","898","0.04","974","0.04","-114","-0","-114","-0","103","0","0","-22","-0","-31","-0","-92","-0","-92","-0","2","0","-90","-0","-81","-0","-114","-0","38","35","2864","-2","8","11502","10986","516","103","101.5","103","1.48","2.88","0.36","0.7","26.1","29.46","4.51","0.28","159.06","-1.8","-0.58","-1.33","0.51","-6749",-41
15	,"3122.TW","笙泉","21.2","-0.47","43","56.8","0.01","0.01","-10.33","-10.93","-3.72","-4.81","-0.47","-2.97","-10.74","-14.69","-19.39","4.08","4","0","109.34","-0","-1","-0","-2","-0","-2","-0","0","0","0","0","0","0","0","0","0","0","-1","-0","-7","-0","-15","-0","-55","-0","-55","-0","0","0","0","0","0","0","-1","-0","-1","-0","21.4","1","0","1","0","1","0","1","0","1","0","-9","-0","-20","-0","-20","-0","-55","-0","0","9","2508","0","41","793","800","-7","21.55","21.2","21.4","1.65","2.83","0.11","0.14","16.28","23.96","0","1.63","109.34","0.6","1.09","-0.01","0.76","-79",-14
16	,"6104.TW","創惟","89.3","0.34","686","776.8","0.61","0.66","-11.18","-12.41","-3.64","-4.48","0.34","-1.22","-11.14","-17.7","-31.04","9.12","-72","-0.01","119.67","-0.05","-429","-0.04","-1170","-0.11","-1170","-0.11","0","0","0","0","0","0","2","0","2","0","-27","-0","-364","-0.04","-293","-0.03","-1294","-0.13","-1294","-0.13","106","0.01","371","0.04","294","0.03","1744","0.17","1744","0.17","90.2","2","0","6","0","5","0","-27","-0","-27","-0","8","0","-1","-0","-54","-0.01","-136","-0.01","37","29","5306","-6","118","5310","5330","-20","90.5","88.3","90.2","2.49","2.77","0.75","0.85","28.72","33.73","23.28","2.22","119.67","1.22","0.85","-0.05","0.88","-112",-9
17	,"8299.TW","群聯","1100","4.27","10169","9575.4","111.86","104.68","7.84","8.77","-3.63","-5.05","4.27","-7.95","-16.03","7.32","127.04","21.16","-1308","-0.68","160.14","-0.09","2896","1.51","6726","3.5","6726","3.5","-163","-0.08","-713","-0.37","-2857","-1.49","-3580","-1.86","-3580","-1.86","-700","-0.36","-1260","-0.65","-1356","-0.7","-1588","-0.83","-1588","-0.83","21","0.01","43","0.02","169","0.09","392","0.2","392","0.2","1160","-1","-0","27","0.01","-403","-0.21","-1172","-0.61","-1172","-0.61","640","0.33","-232","-0.12","248","0.13","-661","-0.34","1401","756","9086","-73","426","10458","10660","-202","1160","1095","1160","5.94","6.06","4.89","4.6","53.74","42.57","17.17","4.69","160.14","-0.93","1.42","7.17","1.06","2358",58
18	,"3479.TW","安勤","96.6","-0.72","884","530.6","0.85","0.5","-8.28","-8","-3.62","-3.91","-0.72","-2.91","-7.56","-15.63","-11.78","7.26","225","0.03","144.63","0.04","147","0.02","-645","-0.09","-645","-0.09","0","0","0","0","-1","-0","-1","-0","-1","-0","-143","-0.02","-234","-0.03","-362","-0.05","-850","-0.11","-850","-0.11","169","0.02","344","0.05","475","0.06","857","0.11","857","0.11","98.2","-1","-0","-6","-0","-4","-0","-16","-0","-16","-0","29","0","21","0","-1","-0","52","0.01","30","1","1368","0","11","2458","2458","0","98.2","96.6","98.2","1.66","2.21","1.22","0.73","19.57","25.08","7.53","0.8","144.63","-0.29","0.28","0.35","1.67","65",9
19	,"3257.TW","虹冠電","60","1.01","249","413.8","0.15","0.26","-8.69","-9.65","-3.47","-4.97","1.01","-2.28","-8.12","-22.98","-5.51","7.98","51","0","136.91","-0","20","0","-201","-0.02","-201","-0.02","0","0","0","0","0","0","0","0","0","0","3","0","-86","-0.01","-72","-0.01","-304","-0.02","-304","-0.02","19","0","34","0","2","0","166","0.01","166","0.01","60","0","0","0","0","0","0","0","0","0","0","-25","-0","-156","-0.01","-234","-0.02","-387","-0.03","12","34","2862","-2","52","2539","2535","4","60.7","59.7","60","1.68","2.01","0.31","0.52","22.89","28.09","14.34","1.82","136.91","0.96","1.5","-0.11","0.6","150",-39
20	,"6243.TW","迅杰","27.65","1.65","78","168","0.02","0.05","-10.52","-12.18","-3.28","-5.89","1.65","-2.98","-10.66","-17.95","-24.25","4.53","40","0","116.74","0","263","0.02","72","0","72","0","0","0","0","0","0","0","0","0","0","0","8","0","-22","-0","-116","-0.01","-265","-0.02","-265","-0.02","0","0","0","0","63","0","81","0","81","0","27.45","0","0","0","0","0","0","0","0","0","0","1","0","10","0","14","0","65","0","5","4","1822","1","2","479","479","0","27.8","27.3","27.45","1.83","3.71","0.17","0.37","6.41","18.74","16.1","0.11","116.74","1.66","2.61","-0.02","0.46","2",1
21	,"4722.TW","國精化","151","1.68","1648","2432.4","2.49","3.59","-7.38","-7.86","-3.23","-4.58","1.68","1","-10.91","-14.45","5.59","10.19","-155","-0.02","143.16","0.05","-14","-0","122","0.02","122","0.02","0","0","-1","-0","-2","-0","23","0","23","0","-67","-0.01","-491","-0.07","-53","-0.01","-1250","-0.19","-1250","-0.19","75","0.01","483","0.07","207","0.03","2041","0.3","2041","0.3","154.5","0","0","0","0","0","0","-20","-0","-20","-0","84","0.01","26","0","-193","-0.03","-2142","-0.32","185","101","16969","-37","661","5555","5552","3","157.5","148","154.5","6.42","6.03","1.63","2.41","58.37","53.7","66.59","3.9","143.16","0.48","1.35","-1.1","0.68","872",-165
22	,"8927.TW","北基","23.7","0.85","442","1676.4","0.1","0.58","-12.34","-13.31","-3.23","-4.59","0.85","-5.2","-8.14","-11.73","-41.77","43.21","142","0","102.69","0","579","0","973","0.01","973","0.01","0","0","0","0","-2","-0","-2","-0","-2","-0","-15","-0","-108","-0","-111","-0","-341","-0","-341","-0","20","0","-47","-0","7","0","391","0","391","0","23.85","0","0","0","0","0","0","0","0","0","0","-29","-0","-472","-0","-506","-0","-950","-0.01","15","44","4848","0","24","14077","13247","830","24.05","23.2","23.85","3.66","3.38","0.1","0.39","23.98","26.2","4.49","0.5","102.69","0.96","1.36","-0.48","0.26","755",-16
23	,"3605.TW","宏致","61.5","-0.65","1102","1317.8","0.68","0.85","-8.11","-9.25","-3.1","-4.3","-0.65","-0.49","-10.48","-13.26","-17.89","15.95","-233","-0.01","141.25","-0.02","108","0","1057","0.04","1057","0.04","0","0","0","0","0","0","0","0","0","0","-128","-0","-81","-0","227","0.01","52","0","52","0","104","0","63","0","-144","-0.01","737","0.03","737","0.03","62.6","0","0","-19","-0","-29","-0","-307","-0.01","-307","-0.01","4","0","-154","-0.01","-337","-0.01","-1479","-0.06","77","71","7280","-2","58","6181","6259","-78","63","61.4","62.6","2.61","2.66","0.73","0.87","30.13","31.55","17.79","0.8","141.25","1.14","1.19","-0.17","0.84","-828",-26
24	,"1514.TW","亞力","94.5","-0.84","1536","3597.2","1.45","3.53","-6.41","-5.86","-3.06","-2.91","-0.84","-1.87","-8.25","-2.98","-12.9","27.31","-138","-0","145.96","-0.09","-3464","-0.12","-6102","-0.21","-6102","-0.21","0","0","0","0","-329","-0.01","-473","-0.02","-473","-0.02","-216","-0.01","-2325","-0.08","-3399","-0.12","-5826","-0.2","-5826","-0.2","381","0.01","2522","0.09","3550","0.12","6291","0.22","6291","0.22","96","-3","-0","-9","-0","-15","-0","-91","-0","-91","-0","27","0","231","0.01","300","0.01","-56","-0","80","52","6980","11","103","14978","14535","443","96.3","94.5","96","1.9","3.48","0.56","1.32","20.31","41.31","10.22","1.48","145.96","-0.55","-0.15","-2.07","0.43","4531",-28
25	,"4739.TW","康普","64.1","0.16","436","537.6","0.28","0.35","-3.32","-1.87","-2.97","-3.2","0.16","-5.6","-4.47","-1.69","13.25","11.86","88","0","155.64","-0.01","-252","-0.01","2491","0.13","2491","0.13","0","0","0","0","-6","-0","-9","-0","-9","-0","-31","-0","-218","-0.01","-284","-0.02","1477","0.08","1477","0.08","59","0","333","0.02","350","0.02","-832","-0.04","-832","-0.04","64.7","0","0","-8","-0","-8","-0","47","0","47","0","-84","-0","-53","-0","-52","-0","-332","-0.02","39","123","1166","0","21","4179","3135","1044","65","63.5","64.7","2.36","3.46","0.37","0.45","30.05","31.82","4.04","1.8","155.64","-1.45","0.23","-0.07","0.81","1703",-6
26	,"1781.TW","合世","11.25","-0.44","29","35.6","0","0","-6.73","-6.62","-2.94","-3.15","-0.44","-2.6","-6.64","-10.36","-19.06","4.74","9","0","157.01","-0","-11","-0","-24","-0","-24","-0","0","0","0","0","0","0","0","0","0","0","-1","-0","-10","-0","-10","-0","-11","-0","-11","-0","0","0","0","0","0","0","0","0","0","0","11.2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","159","159","0","11.25","11.15","11.2","0.9","1.6","0.06","0.08","6.9","3.94","0","0","157.01","-0.11","0.22","-0","0.81","0",0
27	,"3617.TW","碩天","199.5","1.79","229","280.8","0.46","0.62","-8.03","-8.76","-2.89","-4.92","1.79","-3.39","-6.34","-16.87","-11.92","9.42","-31","-0.01","136.95","-0.04","-254","-0.05","-780","-0.17","-780","-0.17","0","0","0","0","-30","-0.01","-96","-0.02","-96","-0.02","-15","-0","-201","-0.04","-248","-0.05","-523","-0.11","-523","-0.11","10","0","197","0.04","261","0.06","450","0.1","450","0.1","199","0","0","-3","-0","-8","-0","-11","-0","-11","-0","4","0","-3","-0","7","0","-13","-0","15","11","1619","0","12","3235","3122","113","200","197.5","199","1.27","2.56","0.24","0.3","23.14","24.41","6.88","0.74","136.95","0.73","2.03","-0.16","0.82","211",4
28	,"3040.TW","遠見","53.6","-0.19","190","307.4","0.1","0.18","-8.72","-8.16","-2.88","-3.41","-0.19","-3.94","-2.55","-15.19","-10.67","6.58","10","0","140.33","-0","-80","-0.01","-20","-0","-20","-0","0","0","0","0","0","0","0","0","0","0","-2","-0","3","0","-20","-0","-45","-0","-45","-0","7","0","-52","-0","-38","-0","-139","-0.01","-139","-0.01","53.7","0","0","0","0","0","0","0","0","0","0","-3","-0","140","0.01","136","0.01","765","0.06","31","12","13480","-11","81","2143","2137","6","53.8","53.1","53.7","1.32","2.97","0.3","0.49","5.79","21.4","81.92","0.6","140.33","-0.57","0.53","-0.08","0.62","23",-12
29	,"5263.TW","智崴","90.3","-1.85","301","221.6","0.27","0.18","-1.68","0.1","-2.86","-1.1","-1.85","-1.42","-4.75","-2.9","0.44","7.39","-89","-0.01","130.87","-0.02","1","0","235","0.03","235","0.03","0","0","0","0","0","0","0","0","0","0","-67","-0.01","-127","-0.02","-159","-0.02","-252","-0.03","-252","-0.03","37","0","81","0.01","97","0.01","149","0.02","149","0.02","91.1","-1","-0","-3","-0","-6","-0","-4","-0","-4","-0","8","0","15","0","28","0","90","0.01","22","14","2591","24","24","1050","1051","-1","92.7","89.2","91.1","3.92","2.69","0.41","0.31","8.97","13.48","14.69","0.93","130.87","-1.78","-1.75","0.09","1.36","46",22
