符合條件商品
資料日期：2025年 11月 25日
策略,	006_全部上市櫃計量排行
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)","10日融券增減(張)",成交量
10	,"4991.TW","環宇-KY","165","4.43","14449","3943.6","23.84","2.02","3.46","-0.62","2.86","-0.87","4.43","3.12","1.23","1.54","-5.71","11.38","-1918","-0.28","168.53","-0.35","-2749","-0.4","-3878","-0.56","-3878","-0.56","120","0.02","120","0.02","120","0.02","104","0.02","104","0.02","-826","-0.12","-1754","-0.25","-1767","-0.26","-1832","-0.27","-1832","-0.27","659","0.1","1299","0.19","1270","0.18","1224","0.18","1224","0.18","162","-172","-0.02","67","0.01","292","0.04","737","0.11","737","0.11","1430","0.21","613","0.09","818","0.12","1736","0.25","2887","1457","18437","-43","1851","4204","2756","1448","169.5","157.5","162","7.62","4.76","12.7","3.46","59.71","15.02","78.61","10.04","168.53","4.08","3.73","21.82","3.66","1177","-668",14449
11	,"3715.TW","定穎投控","119","9.68","47938","44772","57.05","47.56","12.26","9.45","5.36","2.23","9.68","2.15","6.73","25.13","7.21","27.77","-6088","-0.26","172.74","-0.32","-13552","-0.58","-4799","-0.21","-4799","-0.21","575","0.02","560","0.02","1577","0.07","9287","0.4","9287","0.4","4715","0.2","6","0","-3501","-0.15","-3936","-0.17","-3936","-0.17","-1960","-0.08","2544","0.11","5292","0.23","11109","0.48","11109","0.48","113.5","629","0.03","-293","-0.01","-362","-0.02","1282","0.05","1282","0.05","4287","0.18","1862","0.08","2997","0.13","-6686","-0.29","7121","2830","33140","510","2778","18174","16508","1666","119","111","113.5","7.21","6.37","17.26","16.12","54.26","59.53","47.74","8.38","172.74","2.8","3.13","9.49","1.07","-1191","-734",47938
12	,"2327.TW","國巨*","228.5","-1.72","30782","36543.8","70.34","85.31","6.58","7.14","-1.44","-0.42","-1.72","-0.22","-0.87","-7.11","67.4","51.82","-5756","-0.25","164.59","-0.5","-14058","-0.62","-32801","-1.45","-32801","-1.45","-436","-0.02","134","0.01","1071","0.05","4611","0.2","4611","0.2","-6960","-0.31","-11195","-0.49","-14565","-0.64","-32213","-1.42","-32213","-1.42","2674","0.12","4488","0.2","7420","0.33","10401","0.46","10401","0.46","236.5","-260","-0.01","161","0.01","-256","-0.01","120","0.01","120","0.01","-413","-0.02","1325","0.06","1743","0.08","4566","0.2","2150","2552","45568","-61","407","41083","42081","-998","238","227.5","236.5","4.62","4.11","1.48","1.76","37.76","45.4","8.79","0.89","164.59","-0.56","-1.02","-14.97","0.84","7757","-216",30782
13	,"6409.TW","旭隼","1065","8.34","1057","3078.4","11.26","49.93","-1.7","-6","0.62","-6.23","8.34","-2.74","-8.19","-7.79","3.9","8.77","-206","-0.25","160.39","-0.57","-647","-0.79","-1069","-1.3","-1069","-1.3","-7","-0.01","-72","-0.09","-107","-0.13","-113","-0.14","-113","-0.14","-108","-0.13","-234","-0.28","-378","-0.46","-617","-0.75","-617","-0.75","-3","-0","27","0.03","41","0.05","88","0.11","88","0.11","997","23","0.03","19","0.02","23","0.03","15","0.02","15","0.02","91","0.11","144","0.17","234","0.28","283","0.34","127","34","722","1","3","5174","5227","-53","1080","997","997","8.32","5.39","1.2","3.51","41.63","27.42","3.29","0.42","160.39","4.3","6.85","-38.68","0.34","483","-1",1057
14	,"6415.TW","矽力*-KY","193","7.22","6469","10810.8","12.49","30.48","-10.16","-15.51","1.14","-5.68","7.22","1.05","-7.43","-14.6","-40.34","9.71","-1272","-0.25","131.68","-0","356","0.07","-740","-0.15","-740","-0.15","-79","-0.02","-391","-0.08","-625","-0.12","-594","-0.12","-594","-0.12","-799","-0.16","-1199","-0.24","-1227","-0.24","-2233","-0.44","-2233","-0.44","361","0.07","877","0.17","1109","0.22","2063","0.41","2063","0.41","186.5","49","0.01","34","0.01","8","0","-35","-0.01","-35","-0.01","229","0.05","187","0.04","-78","-0.02","82","0.02","335","97","4876","-1","49","35740","34651","1089","197","185.5","186.5","6.2","4.67","1.67","2.78","36.74","31.87","5.02","1","131.68","5.35","6.83","-18","0.6","6897","2",6469
15	,"3260.TW","威剛","178.5","0","16765","15055.6","29.93","24.75","-1.44","0.25","-6.04","-7.24","0","-11.63","-11.85","-6.79","77.61","32.58","-4387","-0.24","151.09","-0.1","-2143","-0.12","-1953","-0.11","-1953","-0.11","0","0","-258","-0.01","-492","-0.03","-897","-0.05","-897","-0.05","-4203","-0.23","-4570","-0.25","-6129","-0.34","-6664","-0.37","-6664","-0.37","2244","0.12","3113","0.17","5221","0.29","8378","0.46","8378","0.46","189","-61","-0","-270","-0.01","-925","-0.05","-672","-0.04","-672","-0.04","600","0.03","739","0.04","814","0.04","388","0.02","1144","542","8944","-49","1212","23037","21507","1530","191.5","177","189","8.19","6.37","5.15","4.62","53.37","50.76","10.98","13.55","151.09","-1.68","1.2","5.17","1.11","-2391","-542",16765
16	,"5289.TW","宜鼎","495","6","5802","5440","28.72","27.15","10.08","12.08","0.84","-0.92","6","-6.95","3.99","17.58","66.39","9.44","-467","-0.24","163.73","0.17","413","0.22","1603","0.84","1603","0.84","29","0.02","-938","-0.49","-758","-0.4","395","0.21","395","0.21","22","0.01","-464","-0.24","-630","-0.33","93","0.05","93","0.05","144","0.08","1002","0.53","1021","0.54","906","0.47","906","0.47","492","94","0.05","68","0.04","7","0","-100","-0.05","-100","-0.05","98","0.05","-22","-0.01","-207","-0.11","-131","-0.07","390","277","2777","3","159","3586","3230","356","512","480","492","6.67","6.72","6.16","5.78","66.6","59.86","11.76","5.73","163.73","-2.01","1.76","1.57","1.07","872","21",5802
17	,"6290.TW","良維","182.5","0","6763","6428.8","12.34","13.36","9.81","8.24","1.91","-0.1","0","6.1","0.27","1.96","63.68","16.52","-1587","-0.18","173.35","-0.26","-2213","-0.24","392","0.04","392","0.04","580","0.06","999","0.11","941","0.1","706","0.08","706","0.08","-968","-0.11","-993","-0.11","-1230","-0.14","-2654","-0.29","-2654","-0.29","780","0.09","875","0.1","1252","0.14","4201","0.46","4201","0.46","184","-76","-0.01","26","0","16","0","-2632","-0.29","-2632","-0.29","190","0.02","141","0.02","447","0.05","-377","-0.04","538","345","12828","25","654","10293","11451","-1158","186","180","184","3.33","3.47","4.18","3.98","54.67","46.23","31.05","5.1","173.35","1.57","2.01","-1.02","1.05","853","-29",6763
18	,"8271.TW","宇瞻","100.5","6.46","12563","8082","12.63","6.38","3.49","0.95","-2.13","-6.55","6.46","-6.51","-17.96","-2.9","55.57","12.81","-1736","-0.14","150.28","-0.04","1481","0.12","-1933","-0.15","-1933","-0.15","0","0","-2","-0","-3","-0","-4","-0","-4","-0","-1469","-0.12","-920","-0.07","492","0.04","-4033","-0.32","-4033","-0.32","1263","0.1","1332","0.1","1429","0.11","5446","0.43","5446","0.43","100","-9","-0","-38","-0","-74","-0.01","40","0","40","0","421","0.03","-269","-0.02","-835","-0.07","-1343","-0.11","733","311","4936","-178","290","4600","4668","-68","102.5","97.6","100","5.02","5.42","11.31","7.28","67.79","60.5","17.77","5.88","150.28","2.53","4.42","6.25","1.55","929","-337",12563
19	,"2360.TW","致茂","829","2.35","7568","12101.8","62.74","149.1","12.62","9.94","5.69","3.59","2.35","11.13","9.08","11.73","51","42.53","-731","-0.14","172.54","-0.29","-1649","-0.32","-4638","-0.9","-4638","-0.9","368","0.07","719","0.14","1561","0.3","1913","0.37","1913","0.37","-41","-0.01","-214","-0.04","547","0.11","385","0.08","385","0.08","-10","-0","-26","-0.01","-85","-0.02","-57","-0.01","-57","-0.01","834","19","0","38","0.01","-46","-0.01","-142","-0.03","-142","-0.03","-75","-0.01","203","0.04","-40","-0.01","-265","-0.05","478","552","1812","-50","78","21476","29659","-8183","864","820","834","5.37","4.8","1.78","2.85","47.44","33.77","1.7","4.3","172.54","2.67","2.11","-86.36","0.63","1448","20",7568
