符合條件商品
資料日期：2025年 11月 25日
策略,	0101_台積電概念股
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)",10日融券增減(張)
10	,"6187.TW","萬潤","342.5","2.7","883","930.8","3.02","2.93","-1.23","-4.57","2.7","0.3","2.7","6.37","3.32","-4.73","-10.81","9.71","362","0.13","152.96","0.16","763","0.27","846","0.3","846","0.3","0","0","-1","-0","62","0.02","14","0","14","0","243","0.09","325","0.11","702","0.25","1192","0.42","1192","0.42","-138","-0.05","-140","-0.05","-404","-0.14","-483","-0.17","-483","-0.17","339.5","13","0","3","0","-1","-0","-31","-0.01","-31","-0.01","-34","-0.01","-44","-0.02","-162","-0.06","-364","-0.13","23","57","3752","9","66","7934","7917","17","347.5","339.5","339.5","2.36","3.31","0.91","0.96","35.45","37.39","15.45","1.76","152.96","3.35","2.4","0.09","0.95","-421",-45
11	,"8383.TW","千附","39.8","1.79","253","205","0.1","0.07","-0.55","-2.66","1.94","-0.16","1.79","3.38","1.4","-1","-8.4","11.38","123","0","150.72","0","-59","-0","-412","-0.01","-412","-0.01","0","0","0","0","0","0","0","0","0","0","78","0","99","0","95","0","-304","-0.01","-304","-0.01","-17","-0","-33","-0","-55","-0","166","0.01","166","0.01","39.1","0","0","0","0","0","0","-3","-0","-3","-0","-5","-0","-5","-0","-7","-0","-45","-0","9","7","2075","0","1","2721","2714","7","39.95","39.1","39.1","2.17","2.02","0.22","0.18","12.25","13.77","7.3","0.05","150.72","2.11","2.1","0.03","1.23","71",0
12	,"5536.TW","聖暉*","664","2.79","942","1574.2","6.25","10.51","-7.62","-8.61","1.55","-0.95","2.79","5.4","3.59","-8.67","-19.61","6.2","94","0.1","149.45","-0.25","-636","-0.68","-692","-0.74","-692","-0.74","10","0.01","255","0.27","1057","1.13","664","0.71","664","0.71","113","0.12","-32","-0.03","402","0.43","186","0.2","186","0.2","-3","-0","11","0.01","-11","-0.01","75","0.08","75","0.08","660","11","0.01","3","0","8","0.01","28","0.03","28","0.03","35","0.04","34","0.04","38","0.04","-41","-0.04","85","49","2021","7","44","4990","4974","16","673","654","660","2.91","4.83","0.76","1.27","43.74","47.38","6.52","2.18","149.45","0.99","2.5","-4.25","0.6","337",7
13	,"6139.TW","亞翔","441","0.34","3306","5407","14.58","25.05","4.05","4.62","1.53","2.34","0.34","6.39","8.35","0.57","22.84","23.54","261","0.05","168.95","-0.08","1482","0.28","339","0.06","339","0.06","15","0","296","0.06","2034","0.38","2016","0.38","2016","0.38","125","0.02","-817","-0.15","2049","0.38","960","0.18","960","0.18","89","0.02","1039","0.19","-178","-0.03","1048","0.2","1048","0.2","447","-12","-0","-207","-0.04","61","0.01","5","0","5","0","-95","-0.02","138","0.03","-502","-0.09","-826","-0.15","239","333","7992","13","153","6495","6839","-344","451","441","447","2.27","3.96","1.42","2.31","53.48","51.37","13.58","1.91","168.95","-0.56","-0.82","-10.47","0.61","-2715",47
14	,"8027.TW","鈦昇","87.8","4.15","697","620.8","0.61","0.46","-0.45","-3.22","1.43","-1.67","4.15","1.97","-2.77","-1.01","-0.23","10.75","354","0.03","164.77","-0.01","-283","-0.02","-796","-0.07","-796","-0.07","0","0","0","0","0","0","0","0","0","0","222","0.02","-48","-0","-183","-0.01","-717","-0.06","-717","-0.06","-227","-0.02","83","0.01","331","0.03","1061","0.09","1061","0.09","85.2","-8","-0","-2","-0","-18","-0","-75","-0.01","-75","-0.01","26","0","0","0","107","0.01","375","0.03","175","149","6614","7","159","5305","5309","-4","87.9","85.2","85.2","3.17","2.63","0.65","0.58","14.35","20.64","24.61","2.4","164.77","2.77","3.11","0.15","1.12","-522",-101
15	,"6182.TW","合晶","28.8","3.78","3555","3158.4","1.02","0.79","-0.97","-5.08","1.32","-2.82","3.78","4.92","-4.95","-13.25","17.31","57.36","677","0","149.83","0","2478","0.01","3343","0.02","3343","0.02","0","0","0","0","0","0","0","0","0","0","575","0","510","0","1213","0.01","-318","-0","-318","-0","-570","-0","-126","-0","-828","-0","2558","0.01","2558","0.01","28.05","20","0","23","0","31","0","-380","-0","-380","-0","-315","-0","-242","-0","-915","-0","-1896","-0.01","177","490","11977","28","1130","36398","36320","78","28.85","27.95","28.05","3.22","3.04","0.62","0.55","33.16","29.94","8.35","9.43","149.83","4.11","4.13","0.23","1.13","-1480",13
16	,"6196.TW","帆宣","227","2.48","2549","2049.6","5.79","3.95","-4.24","-6.48","1.18","-2.4","2.48","2.95","-2.37","-2.37","-13.52","21.82","94","0.01","155.31","0.15","4032","0.42","5526","0.57","5526","0.57","-564","-0.06","-1685","-0.18","-4186","-0.44","-5444","-0.57","-5444","-0.57","38","0","-233","-0.02","-322","-0.03","-408","-0.04","-408","-0.04","8","0","225","0.02","293","0.03","430","0.04","430","0.04","223","101","0.01","57","0.01","54","0.01","23","0","23","0","-8","-0","44","0","41","0","114","0.01","77","85","1785","-5","81","6911","7116","-205","229","219.5","223","4.33","3.55","1.25","1","33.74","26.88","3.27","4.54","155.31","2.24","3.58","1.84","1.24","-636",-49
17	,"3707.TW","漢磊","48.4","4.65","5527","3005.6","2.68","1.04","-6.05","-9.95","1.09","-3.42","4.65","4.2","-4.16","-17.83","4.65","38.32","-595","-0.01","139.78","0","561","0.01","6517","0.08","6517","0.08","0","0","0","0","0","0","-322","-0","-322","-0","15","0","213","0","610","0.01","-449","-0.01","-449","-0.01","-120","-0","-202","-0","-555","-0.01","1441","0.02","1441","0.02","46.7","112","0","97","0","96","0","63","0","63","0","304","0","128","0","100","0","-447","-0.01","608","304","9842","-181","8085","20036","22494","-2458","49.1","46.4","46.7","5.82","3.26","1.44","0.78","45.16","39.33","11.81","82.15","139.78","3.9","4.51","1.64","1.84","-4914",-1631
18	,"6613.TW","朋億*","171","1.18","170","134.8","0.29","0.19","-2.09","-3.39","1.03","-0.41","1.18","2.4","0.29","1.79","-16.59","3.89","10","0","150.52","-0.01","-88","-0.04","-342","-0.15","-342","-0.15","-1","-0","-1","-0","-2","-0","-15","-0.01","-15","-0.01","17","0.01","14","0.01","0","0","-164","-0.07","-164","-0.07","-7","-0","4","0","17","0.01","185","0.08","185","0.08","172","0","0","0","0","1","0","-2","-0","-2","-0","-2","-0","-29","-0.01","-27","-0.01","16","0.01","1","3","436","0","0","1507","1495","12","173.5","171","172","1.46","1.72","0.22","0.17","24.71","21.09","2.24","0","150.52","1.3","1.45","0.1","1.26","-36",0
19	,"1560.TW","中砂","309.5","1.14","977","1258.6","3.02","3.98","-1.23","-3.1","0.95","-0.56","1.14","3.86","-0.64","-1.12","-9.24","14.7","402","0.08","159.17","0.07","832","0.18","1722","0.36","1722","0.36","-15","-0","1","0","32","0.01","-503","-0.11","-503","-0.11","331","0.07","191","0.04","744","0.16","985","0.21","985","0.21","-208","-0.04","-49","-0.01","-298","-0.06","-46","-0.01","-46","-0.01","310","8","0","-63","-0.01","-100","-0.02","-111","-0.02","-111","-0.02","-24","-0.01","-102","-0.02","-230","-0.05","-327","-0.07","55","78","4186","30","217","7304","7679","-375","311","307.5","310","1.14","2.43","0.67","0.86","28.86","35.53","11.39","5.18","159.17","1.87","1.51","-0.96","0.78","-148",5
